dim,seed,model,nleaps,sampler,ess,ess_exact,n_leapfrog,msjd,margin1_mean,margin1_var,KS,ks_pval,mala
1.8,1,funnel_scale,1,AH_fix,1781.3482425748555,2197.6759456584064,8.8375828e7,4.489732055923861e6,0.3121125826666709,7.1257440922876585,80.08621555518539,0.0,false
2.2,11,funnel_scale,1,AH_exp,1183.3309095832121,994.8264413727711,1.04155466e8,18066.554314946086,-1.7971653896233009,6.976650543778134,395.45963664700764,0.0,false
2.4,17,funnel_scale,1,AH_unif,2227.3608192433,4328.30897930803,5.8623924e7,483609.6069446764,0.637110716506393,3.7493723497227514,186.07722560933857,0.0,false
4.0,3,funnel_scale,1,AH_unif,1452.2935625770017,3138.918670834394,8.1730408e7,2.1196952818447662e10,0.7875626317863684,3.2852351973693827,242.7916253170686,0.0,false
1.8,1,funnel_scale,1,AM,1391.9117128925195,1623.9298783898937,4.6857613e7,12565.68026536618,-0.42041869757487316,7.474110741317359,95.42489346397494,0.0,false
2.2,5,funnel_scale,1,AH_exp,1318.2855371397961,1280.248509070302,7.746773e7,1.611318709088197e7,0.7063202875151646,8.625752743787764,112.02977132983813,0.0,false
2.4,20,funnel_scale,1,AH_exp,1766.119291227418,3260.3230033154287,6.54363e7,676707.7405152785,0.45429804451548506,4.519699273912798,151.19113997473667,0.0,false
2.2,18,funnel_scale,1,NUTS,1464.0336015081784,46.1877871699992,21882615,1.5236548750735347e30,14.121743381881714,0.4349040424467233,1023.9933052086408,0.0,false
4.0,13,funnel_scale,1,AH_exp,1851.4087239805742,9682.670437181345,8.4904914e7,5290.292696268344,0.3946815248535258,1.4395071697198578,287.4794607706387,0.0,false
3.6,10,funnel_scale,1,NUTS,1852.133604787479,49.72571648141897,284305856,7.327277234060828e45,13.61089285440445,0.4721472101183703,1023.9917652153823,0.0,false
1.8,20,funnel_scale,1,AH_exp,1841.6082576864583,2687.4434497141415,6.384136e7,36461.530635685165,0.27678035344959157,6.0297346784428765,73.41293825676092,0.0,false
0.6,19,funnel_scale,1,AH_fix,8932.466747579094,9339.012487305146,3.7176768e7,9.657963495703648,-0.003005697034734512,8.608133469641711,6.890199915005606,1.1611678382952957e-41,false
2.0,5,funnel_scale,1,AH_fix,1726.615561145273,2320.2447487326986,7.7845144e7,1.5833901873705438e6,0.5048384177692316,6.26805339962155,113.17226353395301,0.0,false
3.8,7,funnel_scale,1,AM,1375.965085337053,8657.894521565779,6.2915548e7,10.067449959645852,0.22968455307895322,1.3595166495272526,267.50897719428826,0.0,false
2.6,19,funnel_scale,1,AH_fix,1757.3612191374914,3307.298637208986,7.8460192e7,8.301511809437819e6,0.5132148435654018,4.330647209746086,167.84908724718747,0.0,false
0.4,10,funnel_scale,1,AH_unif,22345.246103112855,22494.409712841163,2.6751534e7,5.664287423543619,0.004480347978302269,8.939881613815832,1.9568500626713075,0.000944006831488552,false
